Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2016-09-09, Panthers, 157, 32, 176, 33, 18, 8, 85, 0, 1, 21, 15, 9, 0, 0, 1939, 20, Broncos, 148, 29, 159, 26, 18, 4, 22, 1, 2, 21, 10, 5, 1, 1, 1661, 21
2016-09-09, Panthers, 157, 32, 176, 33, 18, 8, 85, 0, 1, 21, 15, 9, 0, 0, 1939, 20, Broncos, 148, 29, 159, 26, 18, 4, 22, 1, 2, 21, 10, 5, 1, 1, 1661, 21
2016-09-11, Raiders, 167, 26, 319, 38, 24, 14, 141, 0, 0, 25, 11, 4, 0, 0, 1825, 35, Saints, 88, 22, 419, 42, 28, 7, 53, 1, 0, 27, 11, 4, 1, 1, 1775, 34
2016-09-12, Patriots, 106, 31, 257, 33, 24, 8, 69, 2, 0, 19, 16, 10, 0, 0, 2039, 23, Cardinals, 92, 19, 252, 37, 24, 6, 58, 0, 0, 21, 12, 6, 0, 0, 1561, 21
2016-09-11, Vikings, 65, 28, 236, 33, 18, 3, 39, 0, 0, 15, 14, 6, 0, 0, 1775, 25, Titans, 64, 22, 252, 41, 25, 2, 10, 2, 1, 19, 14, 8, 0, 0, 1825, 16
2016-09-11, Dolphins, 64, 20, 150, 29, 16, 4, 40, 0, 0, 11, 14, 3, 1, 0, 1528, 10, Seahawks, 112, 32, 240, 43, 27, 8, 69, 1, 1, 21, 16, 5, 3, 2, 2072, 12
2016-09-11, Giants, 113, 24, 203, 28, 19, 4, 40, 0, 1, 18, 10, 5, 0, 0, 1397, 20, Cowboys, 101, 30, 227, 45, 25, 6, 50, 0, 0, 24, 17, 10, 0, 0, 2203, 19
2016-09-11, Packers, 95, 25, 199, 34, 20, 5, 24, 0, 0, 18, 14, 7, 1, 1, 1717, 27, Jaguars, 48, 26, 300, 39, 24, 9, 79, 0, 1, 20, 15, 4, 4, 3, 1883, 23
2016-09-11, Bears, 73, 20, 185, 29, 16, 4, 30, 0, 1, 14, 13, 4, 2, 0, 1421, 14, Texans, 129, 35, 215, 35, 22, 6, 69, 0, 1, 17, 20, 12, 0, 0, 2179, 23
2016-09-11, Buccaneers, 90, 28, 281, 32, 23, 6, 48, 0, 1, 20, 9, 3, 0, 0, 1657, 31, Falcons, 52, 22, 322, 39, 27, 7, 74, 0, 0, 19, 13, 3, 2, 1, 1943, 24
