"Team","Total DVOA","Rank","Prv Yr Rank","Non-Adj Tot VOA","W-L","Offense DVOA","Rank","Defense DVOA","Rank","ST DVOA","Rank","Est. Wins","Rank","WtdDVOA","Rank","Sched","Rank","Pyth Wins","Rank","Var","Rank"
"SEA","38.3%","1","19","30.6%","11-5","18.5%","4","-14.1%","4","5.7%","3","13.0","3","46.6%","1","5.1%","4","12.5","3","14.3%","21"
"DEN","36.6%","2","24","38.8%","13-3","22.1%","2","-13.8%","5","0.7%","13","14.7","1","41.4%","2","-6.8%","31","12.5","2","7.7%","4"
"NE","34.9%","3","3","37.6%","12-4","30.8%","1","1.3%","15","5.5%","4","13.4","2","37.5%","3","-2.9%","21","12.7","1","11.8%","11"
"SF","29.9%","4","6","24.0%","11-4-1","17.0%","5","-14.3%","2","-1.5%","20","12.5","4","24.1%","5","6.3%","3","11.4","4","21.7%","31"
"GB","26.6%","5","1","18.8%","11-5","19.5%","3","-7.3%","8","-0.2%","18","11.8","5","24.2%","4","2.2%","9","10.5","7","16.3%","27"
"CHI","20.5%","6","15","18.2%","10-6","-10.9%","26","-26.8%","1","4.7%","6","11.0","6","15.7%","8","2.8%","8","10.8","6","12.6%","12"
"NYG","13.5%","7","12","12.3%","9-7","12.9%","7","1.4%","16","2.0%","10","9.5","8","9.5%","10","2.1%","10","10.2","9","33.5%","32"
"BAL","9.8%","8","7","11.6%","10-6","3.0%","13","2.2%","19","9.0%","1","9.2","9","8.3%","11","-1.0%","16","9.4","11","15.6%","24"
"WAS","9.6%","9","21","13.7%","10-6","15.3%","6","1.8%","17","-4.0%","27","9.9","7","18.1%","6","-0.7%","15","9.2","12","8.5%","5"
"ATL","9.1%","10","8","14.7%","13-3","6.1%","12","-2.9%","12","0.1%","16","9.1","10","2.4%","13","-4.3%","27","11.2","5","13.7%","17"
"HOU","6.6%","11","5","14.7%","12-4","0.1%","16","-14.2%","3","-7.7%","32","8.3","14","-3.0%","19","-4.0%","26","10.2","8","14.0%","18"
"CIN","6.1%","12","17","12.1%","10-6","-1.8%","17","-3.8%","10","4.1%","7","8.7","13","18.0%","7","-5.6%","29","9.9","10","14.0%","19"
"CAR","5.5%","13","20","5.0%","7-9","7.1%","10","-3.1%","11","-4.8%","29","8.8","11","10.9%","9","0.8%","13","7.8","18","13.1%","13"
"MIN","2.0%","14","29","-0.3%","10-6","0.3%","15","3.1%","21","4.7%","5","8.8","12","-1.5%","17","4.9%","5","8.8","13","7.6%","3"
"STL","1.1%","15","32","-6.3%","7-8-1","-4.7%","21","-9.2%","7","-3.4%","26","8.1","15","4.3%","12","9.6%","2","6.6","22","9.9%","8"
"DET","0.2%","16","11","-5.7%","4-12","12.3%","8","7.0%","24","-5.1%","30","7.6","18","1.3%","14","4.1%","6","6.4","23","5.3%","1"
"DAL","-0.4%","17","14","-4.6%","8-8","6.1%","11","6.7%","23","0.2%","15","7.9","16","-0.4%","16","4.0%","7","7.4","19","6.9%","2"
"PIT","-1.0%","18","4","5.5%","8-8","-3.8%","19","-2.9%","13","-0.1%","17","7.4","20","0.6%","15","-5.2%","28","8.7","14","14.5%","23"
"NO","-5.2%","19","2","-3.3%","7-9","11.9%","9","14.8%","32","-2.3%","23","6.4","23","-1.8%","18","2.0%","12","8.2","15","14.1%","20"
"TB","-6.6%","20","30","-3.6%","7-9","0.6%","14","3.0%","20","-4.3%","28","7.8","17","-9.1%","23","-1.2%","17","7.9","17","13.6%","16"
"MIA","-7.3%","21","18","-4.9%","7-9","-8.4%","22","-0.6%","14","0.4%","14","7.6","19","-12.1%","24","-1.9%","19","7.1","21","16.1%","25"
"SD","-9.1%","22","16","-4.5%","7-9","-10.1%","24","2.0%","18","3.0%","8","6.6","21","-7.0%","22","-6.6%","30","8.0","16","9.3%","7"
"BUF","-12.2%","23","23","-13.7%","6-10","-4.3%","20","10.6%","27","2.7%","9","6.5","22","-6.9%","21","-3.3%","24","5.7","25","16.5%","28"
"CLE","-13.5%","24","25","-8.3%","5-11","-15.1%","27","4.5%","22","6.1%","2","6.2","25","-6.6%","20","-2.4%","20","6.1","24","11.5%","10"
"IND","-16.0%","25","31","-9.7%","11-5","-2.9%","18","14.0%","31","0.9%","12","6.2","24","-14.0%","25","-7.4%","32","7.2","20","11.4%","9"
"ARI","-16.3%","26","28","-27.7%","5-11","-31.0%","32","-13.5%","6","1.1%","11","4.8","27","-23.4%","27","10.7%","1","4.8","27","16.1%","26"
"NYJ","-17.9%","27","10","-15.9%","6-10","-20.6%","30","-4.2%","9","-1.5%","21","5.6","26","-18.2%","26","0.1%","14","5.3","26","17.6%","29"
"PHI","-22.7%","28","9","-26.6%","4-12","-10.8%","25","9.4%","26","-2.6%","24","4.5","28","-27.3%","30","2.1%","11","3.9","30","13.4%","14"
"OAK","-27.8%","29","22","-23.5%","4-12","-9.6%","23","12.5%","29","-5.8%","31","3.7","29","-26.2%","29","-3.9%","25","4.1","29","14.4%","22"
"TEN","-29.3%","30","13","-28.3%","6-10","-20.5%","29","7.4%","25","-1.4%","19","3.3","30","-23.6%","28","-3.0%","22","4.6","28","20.2%","30"
"JAC","-33.0%","31","27","-29.7%","2-14","-18.3%","28","11.7%","28","-3.0%","25","2.7","31","-29.6%","31","-3.3%","23","3.3","31","8.8%","6"
"KC","-40.4%","32","26","-44.0%","2-14","-25.1%","31","13.2%","30","-2.1%","22","2.3","32","-39.8%","32","-1.5%","18","2.5","32","13.4%","15"
