Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2011-09-08, Saints, 81, 21, 396, 49, 32, 3, 15, 1, 0, 27, 14, 9, 1, 0, 1626, 34, Packers, 103, 27, 296, 35, 27, 6, 48, 0, 0, 24, 12, 8, 0, 0, 1974, 42
2011-09-11, Titans, 43, 13, 249, 34, 21, 7, 60, 0, 1, 13, 11, 4, 0, 0, 1222, 14, Jaguars, 163, 47, 160, 24, 17, 5, 39, 1, 0, 20, 18, 9, 0, 0, 2378, 16
2011-09-11, Bengals, 139, 33, 155, 27, 15, 3, 22, 0, 0, 17, 17, 7, 0, 0, 1823, 27, Browns, 83, 26, 202, 40, 19, 11, 72, 0, 1, 17, 15, 4, 2, 1, 1777, 17
2011-09-11, Eagles, 236, 32, 167, 32, 14, 8, 91, 1, 0, 27, 12, 8, 1, 0, 1814, 31, Rams, 154, 26, 181, 35, 18, 9, 60, 1, 0, 21, 12, 2, 3, 2, 1786, 13
2011-09-11, Lions, 126, 35, 305, 33, 24, 8, 68, 0, 1, 25, 11, 2, 1, 1, 2185, 27, Buccaneers, 56, 16, 259, 46, 29, 6, 39, 1, 1, 17, 14, 6, 2, 1, 1415, 20
2011-09-11, Panthers, 74, 27, 403, 37, 24, 10, 74, 0, 1, 26, 11, 3, 1, 0, 1967, 21, Cardinals, 99, 25, 295, 27, 18, 6, 61, 1, 0, 15, 12, 5, 0, 0, 1633, 28
2011-09-11, Cowboys, 64, 26, 326, 36, 23, 7, 40, 2, 1, 21, 12, 4, 0, 0, 2033, 24, Jets, 45, 16, 315, 44, 26, 0, 0, 1, 1, 19, 14, 6, 0, 0, 1567, 27
2011-09-11, Bills, 163, 39, 201, 26, 17, 5, 30, 0, 1, 23, 14, 7, 0, 0, 2222, 41, Chiefs, 108, 18, 105, 36, 22, 1, 3, 2, 1, 13, 13, 3, 0, 0, 1378, 7
2011-09-11, Vikings, 159, 26, 28, 15, 7, 9, 78, 0, 1, 10, 11, 4, 0, 0, 1363, 17, Chargers, 77, 27, 330, 48, 33, 4, 26, 0, 2, 31, 13, 6, 1, 0, 2237, 24
2011-09-11, Giants, 75, 20, 240, 32, 18, 8, 63, 0, 1, 15, 10, 1, 1, 0, 1644, 14, Redskins, 74, 26, 258, 34, 21, 3, 25, 1, 0, 22, 14, 5, 1, 1, 1956, 28
