Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2013-09-05, Ravens, 58, 21, 335, 62, 34, 7, 53, 0, 2, 24, 22, 8, 1, 0, 2028, 27, Broncos, 65, 23, 445, 42, 27, 8, 61, 2, 0, 24, 15, 8, 0, 0, 1572, 49
2013-09-08, Patriots, 158, 34, 273, 52, 29, 4, 36, 2, 1, 26, 20, 11, 1, 0, 2263, 23, Bills, 136, 34, 150, 27, 18, 10, 75, 2, 0, 15, 13, 4, 0, 0, 1337, 21
2013-09-08, Cardinals, 86, 26, 304, 40, 26, 6, 68, 1, 1, 25, 14, 7, 0, 0, 1885, 24, Rams, 67, 24, 299, 38, 27, 7, 59, 1, 1, 20, 11, 4, 0, 0, 1715, 27
2013-09-08, Titans, 112, 42, 117, 20, 11, 6, 60, 0, 0, 17, 15, 6, 1, 1, 2041, 16, Steelers, 31, 15, 163, 33, 21, 4, 47, 1, 1, 14, 13, 4, 1, 1, 1559, 9
2013-09-08, Buccaneers, 65, 25, 185, 31, 15, 13, 102, 1, 1, 12, 16, 6, 0, 0, 1658, 17, Jets, 90, 29, 214, 39, 24, 6, 45, 1, 1, 22, 18, 7, 0, 0, 1942, 18
2013-09-08, Bengals, 63, 21, 277, 33, 26, 8, 84, 1, 2, 18, 11, 7, 0, 0, 1710, 21, Bears, 81, 28, 242, 33, 21, 4, 59, 0, 1, 17, 14, 6, 1, 1, 1890, 24
2013-09-08, Raiders, 171, 33, 201, 29, 19, 8, 51, 0, 2, 20, 13, 7, 1, 1, 1967, 17, Colts, 127, 26, 147, 23, 18, 3, 31, 0, 0, 18, 10, 6, 1, 0, 1633, 21
2013-09-08, Dolphins, 20, 23, 255, 38, 24, 10, 77, 0, 1, 18, 16, 8, 0, 0, 1967, 23, Browns, 47, 13, 244, 53, 26, 9, 57, 0, 3, 20, 14, 1, 4, 2, 1633, 10
2013-09-08, Vikings, 105, 22, 225, 28, 18, 5, 52, 1, 3, 16, 10, 2, 2, 1, 1421, 24, Lions, 112, 34, 357, 43, 28, 11, 88, 1, 1, 28, 13, 5, 1, 0, 2179, 34
2013-09-08, Packers, 63, 19, 322, 37, 21, 5, 44, 1, 1, 23, 10, 4, 0, 0, 1285, 28, 49ers, 90, 34, 404, 39, 27, 11, 85, 0, 0, 23, 18, 9, 1, 1, 2315, 34
2013-09-08, Giants, 50, 14, 428, 42, 27, 6, 52, 3, 3, 21, 11, 6, 0, 0, 1370, 31, Cowboys, 87, 23, 244, 49, 36, 5, 40, 0, 1, 22, 15, 5, 0, 0, 2230, 36
2013-09-08, Seahawks, 70, 26, 300, 33, 25, 9, 99, 1, 0, 18, 13, 6, 0, 0, 1814, 12, Panthers, 134, 26, 125, 23, 16, 4, 46, 2, 0, 17, 11, 5, 0, 0, 1786, 7
2013-09-08, Chiefs, 121, 27, 171, 34, 21, 3, 20, 0, 0, 17, 15, 5, 0, 0, 1890, 28, Jaguars, 71, 23, 107, 41, 19, 5, 30, 0, 2, 12, 19, 5, 1, 0, 1710, 2
2013-09-08, Falcons, 88, 14, 279, 38, 25, 2, 19, 1, 1, 18, 11, 3, 1, 0, 1489, 17, Saints, 78, 29, 341, 35, 26, 6, 57, 0, 1, 18, 13, 6, 1, 0, 2111, 23
2013-09-09, Eagles, 263, 49, 180, 25, 15, 8, 65, 2, 0, 26, 15, 7, 1, 1, 1959, 33, Redskins, 74, 18, 308, 49, 30, 10, 75, 1, 2, 25, 10, 2, 2, 1, 1641, 27
2013-09-09, Texans, 120, 28, 329, 45, 34, 7, 73, 0, 1, 26, 13, 6, 2, 1, 2191, 31, Chargers, 80, 20, 183, 29, 14, 7, 55, 0, 1, 14, 14, 7, 1, 1, 1409, 28
2013-09-12, Jets, 129, 32, 189, 35, 15, 8, 66, 1, 3, 15, 18, 6, 0, 0, 2040, 10, Patriots, 54, 24, 178, 39, 19, 3, 30, 0, 0, 9, 18, 4, 0, 0, 1560, 13
2013-09-15, Lions, 49, 20, 273, 36, 24, 8, 101, 1, 0, 16, 11, 3, 1, 0, 1721, 21, Cardinals, 87, 25, 261, 40, 23, 7, 40, 0, 1, 24, 11, 1, 0, 0, 1879, 25
2013-09-15, Browns, 65, 20, 194, 37, 22, 5, 33, 0, 0, 13, 15, 4, 2, 0, 1765, 6, Ravens, 99, 36, 197, 33, 22, 3, 41, 1, 0, 19, 16, 8, 0, 0, 1835, 14
2013-09-15, Dolphins, 101, 27, 297, 34, 23, 0, 0, 1, 0, 21, 14, 6, 1, 0, 1766, 24, Colts, 133, 26, 315, 43, 25, 3, 13, 0, 1, 23, 15, 7, 1, 0, 1834, 20
2013-09-15, Cowboys, 37, 16, 281, 42, 30, 5, 27, 2, 0, 20, 11, 3, 0, 0, 1907, 16, Chiefs, 114, 25, 199, 36, 21, 10, 45, 0, 0, 19, 13, 4, 0, 0, 1693, 17
2013-09-15, Panthers, 125, 32, 183, 38, 21, 3, 30, 0, 1, 25, 16, 7, 0, 0, 2021, 23, Bills, 149, 33, 287, 39, 27, 7, 55, 1, 1, 24, 14, 6, 0, 0, 1579, 24
2013-09-15, 49ers, 100, 20, 107, 28, 13, 12, 121, 2, 3, 12, 12, 3, 1, 0, 1397, 3, Seahawks, 172, 47, 118, 19, 8, 10, 84, 0, 1, 19, 16, 5, 2, 1, 2203, 29
2013-09-15, Broncos, 107, 29, 307, 43, 30, 13, 132, 1, 0, 23, 15, 8, 0, 0, 1682, 41, Giants, 23, 19, 353, 49, 28, 4, 16, 0, 4, 28, 11, 1, 1, 0, 1918, 23
2013-09-15, Titans, 119, 33, 129, 30, 17, 9, 70, 0, 0, 14, 16, 4, 1, 0, 1874, 24, Texans, 172, 28, 280, 48, 26, 5, 40, 0, 2, 25, 17, 6, 0, 0, 1994, 30
2013-09-15, Rams, 69, 18, 352, 55, 32, 7, 53, 0, 1, 24, 17, 7, 2, 2, 1783, 24, Falcons, 36, 16, 357, 43, 33, 7, 53, 0, 0, 19, 13, 7, 0, 0, 1817, 31
2013-09-15, Saints, 75, 20, 296, 46, 26, 5, 35, 0, 2, 21, 14, 5, 1, 0, 1956, 16, Buccaneers, 160, 33, 113, 22, 9, 10, 118, 1, 1, 14, 13, 5, 0, 0, 1644, 14
2013-09-15, Vikings, 123, 33, 227, 30, 16, 3, 25, 2, 1, 19, 16, 7, 2, 2, 1766, 30, Bears, 127, 27, 284, 38, 27, 4, 35, 2, 2, 24, 12, 7, 0, 0, 1834, 31
2013-09-15, Redskins, 108, 17, 314, 40, 26, 7, 78, 0, 1, 18, 11, 3, 2, 1, 1651, 20, Packers, 139, 24, 441, 42, 34, 4, 40, 1, 0, 28, 10, 4, 1, 1, 1949, 38
2013-09-15, Chargers, 126, 31, 413, 47, 36, 4, 32, 2, 0, 33, 15, 10, 0, 0, 2417, 33, Eagles, 100, 19, 411, 37, 23, 9, 77, 0, 0, 22, 11, 5, 0, 0, 1183, 30
2013-09-15, Jaguars, 34, 19, 214, 38, 25, 10, 70, 0, 0, 15, 17, 7, 1, 1, 1692, 9, Raiders, 226, 34, 114, 24, 15, 5, 30, 1, 0, 16, 14, 4, 0, 0, 1908, 19
2013-09-16, Steelers, 44, 16, 234, 37, 20, 3, 29, 1, 1, 14, 12, 3, 0, 0, 1466, 10, Bengals, 127, 34, 280, 45, 25, 9, 84, 0, 0, 22, 17, 7, 1, 0, 2134, 20
2013-09-19, Chiefs, 146, 38, 248, 35, 22, 9, 65, 0, 0, 19, 19, 6, 2, 0, 2347, 26, Eagles, 264, 27, 167, 30, 13, 6, 45, 3, 2, 21, 10, 3, 1, 0, 1253, 16
2013-09-22, Texans, 94, 23, 170, 35, 25, 14, 113, 0, 1, 18, 12, 3, 1, 0, 1836, 9, Ravens, 75, 31, 161, 24, 16, 10, 87, 0, 0, 16, 16, 8, 0, 0, 1764, 30
