"Team","Total DVOA","Rank","Prv Yr Rank","Non-Adj Tot VOA","W-L","Offense DVOA","Rank","Defense DVOA","Rank","ST DVOA","Rank","Est. Wins","Rank","WtdDVOA","Rank","Sched","Rank","Pyth Wins","Rank","Var","Rank"
"SEA","40.0%","1","1","40.3%","13-3","9.4%","7","-25.9%","1","4.7%","5","13.0","2","43.7%","1","-0.4%","16","12.8","1","12.4%","19"
"DEN","32.7%","2","2","40.9%","13-3","33.5%","1","-0.2%","15","-1.0%","21","14.1","1","27.0%","2","-6.6%","31","11.7","2","7.2%","8"
"CAR","24.6%","3","13","21.8%","12-4","7.9%","10","-15.7%","3","1.0%","13","11.0","4","24.7%","4","3.2%","6","11.7","3","9.2%","11"
"NO","19.3%","4","19","16.0%","11-5","16.0%","5","-5.8%","10","-2.5%","24","10.0","9","19.7%","7","5.8%","5","10.8","7","14.7%","25"
"NE","18.9%","5","3","17.9%","12-4","16.4%","4","4.2%","20","6.7%","2","11.0","3","24.4%","5","-0.9%","18","10.5","8","4.5%","1"
"KC","17.5%","6","32","21.0%","11-5","3.0%","15","-6.7%","9","7.8%","1","10.0","10","17.7%","9","-7.0%","32","11.1","6","13.6%","22"
"SF","17.4%","7","4","12.9%","12-4","9.1%","8","-4.6%","13","3.7%","7","10.6","5","21.3%","6","2.1%","9","11.5","4","11.6%","18"
"PHI","15.2%","8","28","16.3%","10-6","22.9%","3","4.9%","23","-2.8%","25","10.2","7","25.6%","3","-4.6%","29","9.4","11","30.1%","32"
"CIN","14.2%","9","12","20.8%","11-5","0.4%","17","-12.6%","5","1.2%","12","10.1","8","17.7%","8","-3.5%","25","11.1","5","13.4%","21"
"ARI","10.0%","10","26","4.4%","10-6","-2.4%","20","-16.4%","2","-4.1%","27","10.4","6","14.8%","11","5.9%","4","9.5","9","6.5%","5"
"CHI","6.6%","11","6","5.7%","8-8","13.3%","6","8.7%","25","2.0%","11","9.2","12","-0.4%","14","-3.7%","27","7.3","20","16.5%","27"
"SD","6.4%","12","22","5.9%","9-7","23.1%","2","17.5%","32","0.8%","15","8.8","13","13.7%","12","-3.6%","26","9.2","12","6.7%","7"
"IND","3.2%","13","25","7.7%","11-5","4.3%","13","0.9%","16","-0.1%","18","9.5","11","-6.2%","21","-2.6%","23","9.4","10","18.7%","28"
"STL","2.4%","14","15","-1.2%","7-9","-9.5%","22","-5.7%","11","6.3%","4","7.8","16","15.3%","10","6.2%","3","7.6","17","23.1%","31"
"PIT","0.9%","15","18","4.4%","8-8","4.4%","12","4.0%","19","0.5%","16","8.3","14","6.8%","13","-5.0%","30","8.2","14","6.6%","6"
"DET","-1.5%","16","16","2.4%","7-9","-1.9%","19","-0.8%","14","-0.4%","20","7.7","17","-1.5%","15","-3.7%","28","8.5","13","11.1%","16"
"DAL","-2.8%","17","17","-1.1%","8-8","7.5%","11","13.8%","30","3.4%","8","8.2","15","-12.6%","25","-1.3%","21","8.2","15","10.6%","15"
"BUF","-3.3%","18","23","-0.5%","6-10","-11.5%","25","-13.8%","4","-5.6%","30","7.1","20","-4.3%","17","0.2%","15","6.7","22","14.5%","24"
"TB","-5.1%","19","20","-14.2%","4-12","-10.4%","24","-6.8%","8","-1.5%","22","6.3","26","-5.8%","20","9.5%","1","5.3","28","9.4%","12"
"GB","-6.0%","20","5","-0.6%","8-7-1","8.6%","9","14.4%","31","-0.3%","19","7.3","19","-13.4%","26","-3.0%","24","7.8","16","18.8%","29"
"TEN","-6.1%","21","30","-3.1%","7-9","1.4%","16","4.2%","22","-3.2%","26","6.6","23","-3.3%","16","-2.3%","22","7.5","18","6.4%","4"
"MIA","-6.5%","22","21","-6.5%","8-8","-1.8%","18","2.4%","17","-2.4%","23","6.8","21","-4.7%","19","2.5%","8","7.5","19","11.4%","17"
"BAL","-6.7%","23","8","-7.1%","8-8","-21.7%","30","-8.7%","7","6.3%","3","6.8","22","-4.3%","18","-1.1%","20","7.1","21","5.6%","2"
"NYJ","-7.7%","24","27","-8.1%","8-8","-15.3%","27","-5.6%","12","2.1%","10","7.5","18","-9.0%","23","-0.4%","17","5.4","27","21.2%","30"
"ATL","-10.4%","25","10","-15.5%","4-12","3.2%","14","13.5%","29","-0.1%","17","6.5","24","-15.1%","27","7.3%","2","5.9","24","6.1%","3"
"MIN","-11.4%","26","14","-11.3%","5-10-1","-4.7%","21","10.5%","27","3.8%","6","6.5","25","-9.6%","24","1.3%","11","6.1","23","9.6%","13"
"NYG","-15.7%","27","7","-20.4%","7-9","-22.0%","31","-11.4%","6","-5.1%","28","5.5","27","-7.2%","22","3.0%","7","5.6","25","14.0%","23"
"CLE","-21.8%","28","24","-17.4%","4-12","-14.4%","26","8.2%","24","0.9%","14","4.4","28","-25.2%","29","-0.9%","19","5.5","26","9.9%","14"
"WAS","-26.2%","29","9","-29.5%","3-13","-10.0%","23","4.2%","21","-12.0%","32","4.2","29","-26.1%","30","0.7%","12","4.8","30","9.1%","10"
"HOU","-26.5%","30","11","-26.3%","2-14","-18.9%","29","2.5%","18","-5.1%","29","3.9","30","-32.2%","31","1.4%","10","4.2","31","15.2%","26"
"OAK","-34.1%","31","29","-35.9%","4-12","-16.7%","28","10.3%","26","-7.1%","31","2.1","32","-36.8%","32","0.6%","13","4.9","29","8.3%","9"
"JAC","-38.2%","32","31","-37.6%","4-12","-29.8%","32","10.9%","28","2.5%","9","3.2","31","-22.5%","28","0.5%","14","3.1","32","13.3%","20"
