Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,St. Louis Rams,16,12,32,,,1,5,,50,1,3,44,47,16,18,,394,24.6
2,Cleveland Browns,16,18,36,,,2,,,56,2,2,49,52,19,27,2,452,28.3
3,New York Jets,16,11,30,,1,3,1,1,47,1,2,44,45,27,31,,409,25.6
4,Chicago Bears,16,18,22,1,,1,1,,43,1,1,38,42,33,35,1,399,24.9
5,Houston Texans,16,13,20,1,1,1,,,36,1,1,35,35,25,29,,328,20.5
6,San Francisco 49ers,16,25,30,,,1,,,56,1,1,51,54,29,32,2,480,30.0
7,New York Giants,16,10,15,,,,1,,26,,1,24,25,34,40,1,284,17.8
8,Jacksonville Jaguars,16,17,20,1,,,3,,41,1,1,36,40,38,41,1,400,25.0
9,Cincinnati Bengals,16,12,22,,,,,,34,,2,28,32,27,31,1,315,19.7
10,Minnesota Vikings,16,9,22,,1,,,,32,1,2,29,29,28,32,,307,19.2
11,Denver Broncos,16,15,13,,1,,1,,30,1,3,24,27,29,33,2,297,18.6
12,Baltimore Ravens,16,10,28,1,,,,,39,1,3,33,36,16,22,2,321,20.1
13,Detroit Lions,16,8,33,,,,1,,42,2,3,36,39,22,26,,358,22.4
14,Seattle Seahawks,16,16,16,,,,,,33,3,4,29,29,19,27,1,292,18.3
15,Tampa Bay Buccaneers,16,15,24,,,1,1,,41,2,5,34,35,27,36,2,369,23.1
16,Miami Dolphins,16,12,30,,,,1,,43,5,5,34,38,26,35,,380,23.8
17,Philadelphia Eagles,16,10,25,1,,,,,36,,1,31,34,28,33,,331,20.7
18,Carolina Panthers,16,11,27,1,,,4,,43,4,6,35,37,33,42,1,402,25.1
19,Tennessee Titans,16,10,25,2,,3,3,,43,1,3,35,40,27,32,1,378,23.6
20,Kansas City Chiefs,16,10,23,,,,1,,34,1,4,30,30,25,30,,311,19.4
21,Washington Redskins,16,19,22,,1,1,2,,45,,2,41,43,24,30,,383,23.9
22,Buffalo Bills,16,21,19,,,,,1,41,2,3,36,38,30,32,1,378,23.6
23,Pittsburgh Steelers,16,15,20,,,,,1,36,2,4,29,32,26,31,,327,20.4
24,San Diego Chargers,16,20,21,1,,1,3,,46,2,3,42,42,33,38,1,423,26.4
25,Indianapolis Colts,16,12,27,,,2,1,,42,1,3,34,39,34,40,1,392,24.5
26,Oakland Raiders,16,18,27,1,,,,,46,4,7,35,39,22,26,,385,24.1
27,Arizona Cardinals,16,16,21,,1,2,1,,41,1,1,37,40,25,28,,362,22.6
28,Dallas Cowboys,16,9,25,,,,,,34,,6,27,28,25,32,,306,19.1
29,Green Bay Packers,16,11,32,,1,1,,,45,,5,37,40,27,29,,388,24.3
30,New England Patriots,16,6,21,,,,,,27,1,3,23,24,21,29,,250,15.6
31,New Orleans Saints,16,19,27,,,2,2,1,51,3,5,44,46,32,35,,454,28.4
32,Atlanta Falcons,16,15,31,,,,2,,48,6,10,35,38,23,27,,406,25.4
