"Team","Total DVOA","Rank","Prv Yr Rank","Non-Adj Tot VOA","W-L","Offense DVOA","Rank","Defense DVOA","Rank","ST DVOA","Rank","Est. Wins","Rank","WtdDVOA","Rank","Sched","Rank","Pyth Wins","Rank","Var","Rank"
"NE","24.9%","1","6","30.4%","14-2","20.8%","2","-1.8%","16","2.3%","8","11.9","1","33.0%","1","-7.5%","32","12.8","1","12.4%","17"
"DAL","20.3%","2","27","19.2%","13-3","19.9%","3","1.1%","18","1.6%","9","11.8","2","22.9%","2","1.8%","6","11.0","2","5.8%","4"
"ATL","19.8%","3","26","20.5%","11-5","24.6%","1","7.3%","26","2.5%","7","11.8","3","19.9%","4","-0.5%","20","10.9","3","7.7%","8"
"PIT","17.1%","4","7","18.5%","11-5","12.5%","7","-4.7%","11","-0.1%","16","10.2","4","20.6%","3","1.2%","11","9.9","5","23.3%","32"
"PHI","14.4%","5","22","11.1%","7-9","-5.5%","20","-12.4%","4","7.5%","2","9.9","5","9.1%","11","5.7%","2","9.0","10","14.8%","24"
"KC","13.5%","6","5","12.7%","12-4","2.9%","13","-2.8%","14","7.8%","1","9.7","9","17.1%","5","-1.1%","22","10.1","4","14.3%","21"
"GB","12.3%","7","10","10.8%","10-6","16.6%","4","2.5%","20","-1.9%","21","9.8","7","12.8%","8","-0.2%","17","9.1","8","13.5%","18"
"NYG","9.6%","8","20","5.4%","11-5","-6.0%","22","-14.5%","2","1.2%","11","9.8","6","14.5%","6","2.7%","5","8.8","11","2.5%","1"
"WAS","9.5%","9","15","6.0%","8-7-1","15.8%","5","6.8%","25","0.4%","13","9.7","8","12.1%","9","4.3%","3","8.3","18","10.8%","15"
"OAK","8.2%","10","14","6.7%","12-4","12.2%","8","4.3%","22","0.3%","14","8.9","13","4.6%","15","1.0%","14","8.8","12","8.2%","9"
"SEA","8.0%","11","1","10.8%","10-5-1","-2.6%","16","-10.6%","5","-0.1%","15","9.1","11","3.6%","16","-3.9%","29","9.8","6","16.3%","29"
"BAL","7.4%","12","17","5.8%","8-8","-7.5%","24","-9.9%","6","4.9%","4","9.1","10","13.6%","7","1.7%","7","8.6","13","13.9%","19"
"CIN","4.0%","13","2","2.9%","6-9-1","7.5%","11","0.8%","17","-2.7%","28","8.0","18","5.5%","12","1.2%","12","8.3","19","9.3%","11"
"DEN","3.7%","14","8","4.8%","9-7","-12.3%","28","-18.3%","1","-2.3%","24","8.5","17","-3.3%","21","2.9%","4","9.1","9","11.2%","16"
"TEN","3.5%","15","31","9.3%","9-7","10.8%","9","6.4%","24","-1.0%","19","8.7","14","10.0%","10","-5.8%","31","8.1","20","10.0%","13"
"ARI","1.3%","16","3","4.7%","7-8-1","-6.0%","21","-13.6%","3","-6.3%","30","7.7","19","2.1%","18","-4.3%","30","9.4","7","14.0%","20"
"BUF","1.0%","17","12","3.7%","7-9","10.7%","10","7.8%","27","-1.9%","22","7.4","20","-2.6%","20","-3.5%","27","8.5","15","15.5%","28"
"MIA","1.0%","18","29","3.6%","10-6","1.8%","14","1.6%","19","0.8%","12","8.9","12","4.9%","14","-3.2%","26","7.5","24","19.7%","31"
"SD","-1.1%","19","24","-1.2%","5-11","-3.2%","18","-6.8%","7","-4.8%","29","6.9","23","-6.9%","23","-0.2%","16","7.7","21","4.7%","2"
"MIN","-1.7%","20","11","0.2%","8-8","-9.8%","26","-6.6%","8","1.5%","10","8.6","16","-12.3%","26","-0.4%","19","8.6","14","14.6%","22"
"NO","-1.9%","21","28","1.6%","7-9","15.4%","6","14.6%","31","-2.6%","27","8.6","15","-0.8%","19","0.1%","15","8.3","17","4.7%","3"
"TB","-3.0%","22","21","-6.1%","9-7","-4.1%","19","-2.9%","13","-1.8%","20","7.2","21","5.4%","13","1.4%","9","7.6","23","15.4%","27"
"IND","-4.6%","23","23","-2.9%","8-8","3.7%","12","12.5%","29","4.1%","5","7.0","22","3.0%","17","-3.9%","28","8.5","16","14.6%","23"
"CAR","-5.5%","24","4","-8.7%","6-10","-8.4%","25","-5.3%","10","-2.5%","25","6.7","24","-4.5%","22","1.4%","8","7.1","25","8.9%","10"
"CHI","-8.3%","25","19","-9.8%","3-13","-2.6%","17","5.0%","23","-0.6%","18","6.2","25","-10.2%","24","-0.8%","21","4.7","28","15.4%","26"
"JAC","-10.4%","26","25","-8.8%","3-13","-11.3%","27","-3.1%","12","-2.3%","23","5.4","26","-10.3%","25","-1.7%","25","5.8","27","6.3%","5"
"DET","-15.6%","27","13","-14.3%","9-7","-0.6%","15","18.5%","32","3.5%","6","5.3","27","-16.7%","27","-0.3%","18","7.7","22","9.8%","12"
"SF","-19.6%","28","32","-21.8%","2-14","-7.2%","23","12.1%","28","-0.3%","17","4.6","31","-18.4%","29","-1.4%","23","3.9","30","10.0%","14"
"HOU","-21.9%","29","18","-19.2%","9-7","-21.2%","30","-5.8%","9","-6.5%","31","4.6","28","-18.2%","28","1.0%","13","6.5","26","6.5%","6"
"STL","-28.6%","30","16","-25.6%","4-12","-37.8%","32","-2.0%","15","7.1%","3","4.6","29","-36.7%","32","-1.4%","24","3.3","32","14.9%","25"
"CLE","-30.4%","31","30","-37.7%","1-15","-13.4%","29","14.5%","30","-2.5%","26","1.5","32","-29.2%","30","6.7%","1","3.3","31","7.1%","7"
"NYJ","-32.4%","32","9","-33.4%","5-11","-21.9%","31","3.7%","21","-6.8%","32","4.6","30","-33.9%","31","1.4%","10","4.4","29","17.1%","30"
