Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2010-09-09, Vikings, 91, 23, 162, 27, 15, 6, 60, 0, 1, 12, 13, 5, 0, 0, 1577, 9, Saints, 79, 25, 229, 36, 27, 3, 20, 0, 0, 18, 11, 3, 0, 0, 2023, 14
2010-09-12, Dolphins, 132, 36, 164, 34, 21, 3, 15, 0, 0, 19, 18, 8, 0, 0, 2214, 15, Bills, 50, 17, 116, 34, 18, 5, 35, 0, 0, 9, 14, 3, 3, 1, 1386, 10
2010-09-12, Broncos, 89, 25, 274, 33, 21, 7, 70, 1, 1, 21, 10, 3, 2, 1, 1830, 17, Jaguars, 134, 34, 165, 21, 16, 5, 47, 0, 0, 18, 10, 3, 2, 1, 1770, 24
2010-09-12, Browns, 104, 23, 236, 38, 21, 5, 47, 1, 2, 15, 13, 5, 1, 0, 1659, 14, Buccaneers, 119, 30, 169, 28, 17, 6, 55, 1, 1, 13, 17, 7, 1, 0, 1941, 17
2010-09-12, Raiders, 136, 26, 150, 37, 22, 10, 77, 1, 1, 21, 14, 3, 2, 0, 1736, 13, Titans, 205, 39, 140, 17, 13, 8, 81, 1, 0, 17, 15, 8, 0, 0, 1864, 38
2010-09-12, Cardinals, 112, 21, 266, 41, 22, 10, 72, 4, 0, 21, 13, 5, 0, 0, 1629, 17, Rams, 85, 24, 240, 55, 32, 5, 40, 1, 3, 20, 20, 8, 3, 2, 1971, 13
2010-09-12, Bengals, 87, 25, 341, 50, 34, 2, 5, 1, 1, 26, 15, 8, 3, 3, 1910, 24, Patriots, 118, 23, 258, 35, 25, 6, 30, 0, 0, 20, 13, 9, 1, 0, 1690, 38
2010-09-12, Lions, 20, 21, 148, 34, 20, 7, 40, 2, 1, 13, 14, 4, 1, 0, 1518, 14, Bears, 101, 31, 362, 35, 23, 9, 100, 3, 1, 23, 14, 6, 1, 0, 2082, 19
2010-09-12, Panthers, 89, 24, 148, 35, 14, 7, 63, 2, 3, 14, 17, 8, 1, 0, 1521, 18, Giants, 118, 36, 258, 30, 20, 9, 95, 1, 3, 21, 14, 5, 1, 1, 2079, 31
2010-09-12, Cowboys, 103, 22, 277, 48, 31, 12, 81, 1, 0, 24, 13, 5, 1, 1, 2043, 7, Redskins, 89, 23, 161, 32, 15, 5, 42, 0, 0, 17, 13, 3, 1, 0, 1557, 13
2010-09-12, Colts, 44, 10, 419, 57, 40, 5, 73, 1, 0, 25, 12, 4, 1, 1, 1747, 24, Texans, 257, 42, 98, 17, 9, 7, 50, 0, 1, 23, 11, 6, 1, 1, 1853, 34
